,Entrez_Gene_Id,counts,Perc_Bi_Allelic
0,7273,31,0.0
1,94025,23,0.0
2,4540,19,0.0
3,65110,19,0.0
4,133060,19,0.0
5,4583,18,0.0
6,7157,18,0.0
7,85319,17,0.0
8,6262,15,0.0
9,388963,15,0.0
10,4744,15,0.0
11,79633,14,0.0
12,5314,14,0.0
13,4538,14,0.0
14,6310,13,0.0
15,730051,13,0.0
16,1499,13,0.0
17,667,13,0.0
18,4512,13,0.0
19,7399,13,0.0
20,3425,13,0.0
21,386675,12,0.0
22,57705,12,0.0
23,6708,11,0.0
24,129684,11,0.0
25,1933,11,0.0
26,4519,11,0.0
27,113146,11,0.0
28,6261,11,0.0
29,2876,11,0.0
30,439915,11,0.0
31,84033,11,0.0
32,386674,10,0.0
33,54700,10,0.0
34,23145,10,0.0
35,653240,10,0.0
36,1767,10,0.0
37,9612,10,0.0
38,283685,10,0.0
39,777,9,0.0
40,4035,9,0.0
41,9344,9,0.0
42,3782,9,0.0
43,80309,9,0.0
44,114788,9,0.0
45,2195,9,0.0
46,196385,9,0.0
47,2778,9,0.0
48,64072,9,0.0
49,346007,9,0.0
50,64478,9,0.0
51,338,9,0.0
52,120114,9,0.0
53,287,9,0.0
54,342372,9,0.0
55,2201,9,0.0
56,129446,9,0.0
57,1768,9,0.0
58,80816,9,0.0
59,65217,9,0.0
60,23499,9,0.0
61,1756,8,0.0
62,23166,8,0.0
63,3856,8,0.0
64,79987,8,0.0
65,80144,8,0.0
66,26053,8,0.0
67,83481,8,0.0
68,340990,8,0.0
69,11284,8,0.0
70,2312,8,0.0
71,8029,8,0.0
72,389690,8,0.0
73,84627,8,0.0
74,5649,8,0.0
75,353299,8,0.0
76,6908,8,0.0
77,203447,8,0.0
78,83872,8,0.0
79,1002,7,0.0
80,64207,7,0.0
81,4585,7,0.0
82,123624,7,0.0
83,374860,7,0.0
84,83660,7,0.0
85,8085,7,0.0
86,128611,7,0.0
87,53353,7,0.0
88,57634,7,0.0
89,23148,7,0.0
90,202333,7,0.0
91,7148,7,0.0
92,63035,7,0.0
93,57451,7,0.0
94,1486,7,0.0
95,8216,7,0.0
96,8924,7,0.0
97,442444,7,0.0
98,7450,7,0.0
99,9659,7,0.0
100,4763,7,0.0
101,10075,7,0.0
102,84059,7,0.0
103,3911,7,0.0
104,1770,7,0.0
105,1289,7,0.0
106,284217,7,0.0
107,23345,7,0.0
108,5361,7,0.0
109,400986,6,0.0
110,2066,6,0.0
111,63923,6,0.0
112,57575,6,0.0
113,80003,6,0.0
114,55567,6,0.0
115,5789,6,0.0
116,55200,6,0.0
117,3756,6,0.0
118,57616,6,0.0
119,4163,6,0.0
120,321,6,0.0
121,1062,6,0.0
122,127602,6,0.0
123,388698,6,0.0
124,57481,6,0.0
125,347088,6,0.0
126,23224,6,0.0
127,643677,6,0.0
128,11283,6,0.0
129,1464,6,0.0
130,139378,6,0.0
131,119587,6,0.0
132,57477,6,0.0
133,2975,6,0.0
134,283638,6,0.0
135,54798,6,0.0
136,472,6,0.0
137,58508,6,0.0
138,60676,6,0.0
139,286343,6,0.0
140,5365,6,0.0
141,5099,6,0.0
142,8701,6,0.0
143,9353,6,0.0
144,5428,6,0.0
145,80781,6,0.0
146,8425,6,0.0
147,51676,6,0.0
148,6332,6,0.0
149,54777,6,0.0
150,221833,6,0.0
151,3339,6,0.0
152,25878,6,0.0
153,125336,6,0.0
154,23067,6,0.0
155,127731,6,0.0
156,22795,6,0.0
157,54856,6,0.0
158,4330,6,0.0
159,55196,6,0.0
160,79776,6,0.0
161,9554,6,0.0
162,170691,6,0.0
163,6326,6,0.0
164,92235,5,0.0
165,5310,5,0.0
166,84467,5,0.0
167,137902,5,0.0
168,7049,5,0.0
169,342184,5,0.0
170,546,5,0.0
171,55603,5,0.0
172,727897,5,0.0
173,10347,5,0.0
174,8632,5,0.0
175,154664,5,0.0
176,81792,5,0.0
177,22859,5,0.0
178,55454,5,0.0
179,51232,5,0.0
180,23392,5,0.0
181,388015,5,0.0
182,389763,5,0.0
183,83959,5,0.0
184,23670,5,0.0
185,4703,5,0.0
186,3096,5,0.0
187,81926,5,0.0
188,779,5,0.0
189,23094,5,0.0
190,84650,5,0.0
191,5573,5,0.0
192,5362,5,0.0
193,256076,5,0.0
194,259266,5,0.0
195,91074,5,0.0
196,57528,5,0.0
197,6092,5,0.0
198,4624,5,0.0
199,8243,5,0.0
200,57556,5,0.0
201,492,5,0.0
202,55959,5,0.0
203,79670,5,0.0
204,170685,5,0.0
205,340602,5,0.0
206,150,5,0.0
207,79798,5,0.0
208,219578,5,0.0
209,23414,5,0.0
210,55714,5,0.0
211,7179,5,0.0
212,11200,5,0.0
213,202,5,0.0
214,114815,5,0.0
215,23281,5,0.0
216,10985,5,0.0
217,91409,5,0.0
218,84133,5,0.0
219,144132,5,0.0
220,11083,5,0.0
221,390429,5,0.0
222,89795,5,0.0
223,26065,5,0.0
224,126206,5,0.0
225,57512,5,0.0
226,56979,5,0.0
227,7143,5,0.0
228,288,5,0.0
229,11273,5,0.0
230,1462,5,0.0
231,6621,5,0.0
232,5923,5,0.0
233,440279,5,0.0
234,55636,5,0.0
235,3908,5,0.0
236,54058,5,0.0
237,286234,5,0.0
238,57683,5,0.0
239,392862,5,0.0
240,9228,5,0.0
241,65065,5,0.0
242,5792,5,0.0
243,4650,5,0.0
244,55187,5,0.0
245,90113,5,0.0
246,145508,5,0.0
247,127069,5,0.0
248,85320,5,0.0
249,9590,5,0.0
250,9172,5,0.0
251,6476,5,0.0
252,55802,5,0.0
253,23331,5,0.0
254,1954,5,0.0
255,23135,5,0.0
256,4297,5,0.0
257,2324,5,0.0
258,51750,5,0.0
259,388697,5,0.0
260,23096,5,0.0
261,341640,5,0.0
262,23080,5,0.0
263,26230,5,0.0
264,200205,5,0.0
265,5069,5,0.0
266,23040,5,0.0
267,1794,5,0.0
268,3768,5,0.0
269,80312,4,0.0
270,80760,4,0.0
271,51059,4,0.0
272,10919,4,0.0
273,65268,4,0.0
274,390927,4,0.0
275,6328,4,0.0
276,9863,4,0.0
277,9919,4,0.0
278,133584,4,0.0
279,84695,4,0.0
280,116443,4,0.0
281,23245,4,0.0
282,83886,4,0.0
283,26154,4,0.0
284,221981,4,0.0
285,91522,4,0.0
286,27147,4,0.0
287,399687,4,0.0
288,2357,4,0.0
289,10695,4,0.0
290,10046,4,0.0
291,23001,4,0.0
292,124222,4,0.0
293,26986,4,0.0
294,2200,4,0.0
295,84229,4,0.0
296,205147,4,0.0
297,92154,4,0.0
298,1778,4,0.0
299,22937,4,0.0
