,Run,Body_Site
2688,SRR1437555,Brain - Cortex
2711,SRR1433729,Liver
2714,SRR1433796,Brain - Frontal Cortex (BA9)
2722,SRR1433971,Brain - Cortex
2744,SRR1434436,Pancreas
2748,SRR1434526,Brain - Frontal Cortex (BA9)
2770,SRR1434999,Pancreas
2771,SRR1435020,Brain - Frontal Cortex (BA9)
2774,SRR1435090,Stomach
2783,SRR1435293,Brain - Frontal Cortex (BA9)
2792,SRR1435484,Brain - Cortex
2799,SRR1435643,Stomach
2807,SRR1431493,Pancreas
2828,SRR1431948,Pancreas
2837,SRR1432123,Brain - Frontal Cortex (BA9)
2844,SRR1432275,Brain - Cortex
2858,SRR1432587,Stomach
2871,SRR1432890,Stomach
2880,SRR1433088,Brain - Cortex
2883,SRR1433152,Stomach
2899,SRR1433476,Liver
2935,SRR1429912,Pancreas
2948,SRR1430202,Pancreas
2977,SRR1430860,Stomach
2989,SRR1431121,Pancreas
2995,SRR1431248,Liver
3037,SRR1420148,Stomach
3079,SRR1421048,Pancreas
3085,SRR1421177,Brain - Frontal Cortex (BA9)
3115,SRR1417524,Pancreas
3125,SRR1417749,Stomach
3129,SRR1417827,Brain - Cortex
3133,SRR1417912,Brain - Cortex
3143,SRR1418127,Brain - Frontal Cortex (BA9)
3152,SRR1418302,Pancreas
3158,SRR1418433,Pancreas
3177,SRR1418837,Brain - Frontal Cortex (BA9)
3184,SRR1418992,Brain - Cortex
3193,SRR1419187,Brain - Cortex
3211,SRR1415234,Brain - Frontal Cortex (BA9)
3217,SRR1415355,Stomach
3243,SRR1415919,Pancreas
3244,SRR1415938,Pancreas
3250,SRR1416074,Pancreas
3263,SRR1416362,Pancreas
3266,SRR1416434,Brain - Cortex
3268,SRR1416477,Brain - Frontal Cortex (BA9)
3282,SRR1416754,Brain - Frontal Cortex (BA9)
3283,SRR1416773,Pancreas
3295,SRR1417047,Brain - Cortex
3303,SRR1412928,Stomach
3305,SRR1412969,Liver
3307,SRR1413008,Liver
3311,SRR1413100,Stomach
3331,SRR1413522,Brain - Cortex
3333,SRR1413562,Brain - Frontal Cortex (BA9)
3361,SRR1414161,Pancreas
3362,SRR1414185,Liver
3363,SRR1414209,Stomach
3377,SRR1414515,Liver
3381,SRR1414595,Brain - Cortex
3382,SRR1414613,Pancreas
3383,SRR1414637,Liver
3390,SRR1414792,Liver
3395,SRR1414897,Brain - Frontal Cortex (BA9)
3402,SRR1408368,Brain - Frontal Cortex (BA9)
3408,SRR1408512,Liver
3425,SRR1409084,Pancreas
3456,SRR1409790,Liver
3463,SRR1410242,Stomach
3562,SRR1407334,Pancreas
3589,SRR1408091,Stomach
3594,SRR1408208,Brain - Frontal Cortex (BA9)
3613,SRR1403412,Pancreas
3614,SRR1403434,Liver
3619,SRR1403544,Liver
3622,SRR1403611,Pancreas
3635,SRR1404062,Stomach
3639,SRR1404147,Stomach
3643,SRR1404227,Liver
3656,SRR1404507,Pancreas
3665,SRR1404856,Pancreas
3674,SRR1405054,Liver
3685,SRR1405289,Stomach
3713,SRR1400869,Stomach
3739,SRR1401424,Brain - Cortex
3744,SRR1401528,Pancreas
3762,SRR1402091,Pancreas
3785,SRR1402590,Liver
3786,SRR1402772,Stomach
3790,SRR1402900,Brain - Frontal Cortex (BA9)
3799,SRR1403089,Stomach
3837,SRR1398863,Pancreas
3845,SRR1399028,Brain - Cortex
3851,SRR1399156,Stomach
3853,SRR1399201,Brain - Cortex
3855,SRR1399247,Stomach
3871,SRR1399779,Brain - Frontal Cortex (BA9)
3895,SRR1400312,Stomach
3934,SRR1395999,Liver
3938,SRR1396078,Brain - Cortex
3951,SRR1396595,Brain - Cortex
3953,SRR1396640,Brain - Cortex
3957,SRR1396724,Stomach
3971,SRR1397008,Brain - Cortex
3997,SRR1397744,Pancreas
3998,SRR1397762,Pancreas
4010,SRR1391769,Brain - Cortex
4017,SRR1391922,Brain - Cortex
4038,SRR1392615,Stomach
4055,SRR1392985,Brain - Cortex
4078,SRR1394275,Pancreas
4090,SRR1394544,Stomach
4110,SRR1388480,Brain - Cortex
4121,SRR1388891,Stomach
4135,SRR1389199,Stomach
4144,SRR1389384,Liver
4145,SRR1389409,Pancreas
4162,SRR1389979,Brain - Frontal Cortex (BA9)
4171,SRR1390203,Pancreas
4180,SRR1390391,Pancreas
4183,SRR1390456,Pancreas
4185,SRR1390499,Liver
4187,SRR1390540,Liver
4190,SRR1390601,Brain - Frontal Cortex (BA9)
4235,SRR1386708,Brain - Frontal Cortex (BA9)
4261,SRR1387264,Brain - Frontal Cortex (BA9)
4266,SRR1387397,Liver
4272,SRR1387516,Stomach
4279,SRR1387809,Brain - Frontal Cortex (BA9)
4291,SRR1388064,Pancreas
4297,SRR1388190,Stomach
4298,SRR1388214,Liver
4304,SRR1381673,Brain - Frontal Cortex (BA9)
4317,SRR1381953,Pancreas
4320,SRR1382440,Pancreas
4332,SRR1382732,Brain - Cortex
4345,SRR1383037,Pancreas
4346,SRR1383059,Brain - Cortex
4352,SRR1383213,Stomach
4355,SRR1383283,Liver
4364,SRR1383763,Liver
4373,SRR1383984,Stomach
4388,SRR1384331,Stomach
4413,SRR1376830,Liver
4417,SRR1377492,Pancreas
4418,SRR1377537,Stomach
4431,SRR1379384,Stomach
4433,SRR1379426,Liver
4462,SRR1380591,Stomach
4471,SRR1380806,Liver
4475,SRR1380886,Pancreas
4479,SRR1381140,Pancreas
4487,SRR1381306,Stomach
4496,SRR1381505,Pancreas
4503,SRR1341321,Stomach
4505,SRR1343456,Stomach
4517,SRR1348159,Brain - Frontal Cortex (BA9)
4546,SRR1354053,Liver
4559,SRR1356619,Brain - Frontal Cortex (BA9)
4562,SRR1357523,Brain - Cortex
4563,SRR1357541,Pancreas
4575,SRR1360766,Pancreas
4581,SRR1361072,Liver
4592,SRR1362688,Stomach
4594,SRR1370363,Stomach
4605,SRR1323404,Stomach
4621,SRR1376426,Pancreas
4634,SRR1376718,Pancreas
4637,SRR1376852,Liver
4695,SRR1379238,Brain - Cortex
4722,SRR1373858,Brain - Cortex
4740,SRR1374373,Pancreas
4747,SRR1374585,Pancreas
4754,SRR1374739,Pancreas
4776,SRR1375571,Brain - Frontal Cortex (BA9)
4783,SRR1375721,Liver
4795,SRR1375976,Brain - Cortex
4829,SRR1367630,Pancreas
4843,SRR1367943,Brain - Frontal Cortex (BA9)
4870,SRR1368772,Brain - Frontal Cortex (BA9)
4872,SRR1368815,Stomach
4920,SRR1364641,Stomach
4922,SRR1364676,Brain - Cortex
4941,SRR1365313,Liver
4948,SRR1365471,Pancreas
4953,SRR1365575,Pancreas
4957,SRR1365679,Stomach
4960,SRR1365743,Pancreas
4985,SRR1366473,Stomach
5001,SRR1359821,Stomach
5006,SRR1360128,Brain - Frontal Cortex (BA9)
5026,SRR1360545,Stomach
5027,SRR1360563,Brain - Frontal Cortex (BA9)
5050,SRR1361567,Brain - Frontal Cortex (BA9)
5055,SRR1361692,Pancreas
5081,SRR1362532,Brain - Cortex
5114,SRR1357389,Liver
5118,SRR1357478,Brain - Frontal Cortex (BA9)
5120,SRR1357618,Pancreas
5135,SRR1358102,Brain - Cortex
5137,SRR1358143,Liver
5144,SRR1358367,Stomach
5155,SRR1358645,Pancreas
5192,SRR1359630,Brain - Cortex
5195,SRR1359694,Pancreas
5198,SRR1359760,Stomach
5208,SRR1354338,Pancreas
5213,SRR1354446,Brain - Frontal Cortex (BA9)
5216,SRR1354532,Stomach
5225,SRR1354734,Brain - Cortex
5237,SRR1355150,Brain - Cortex
