,Entrez_Gene_Id,counts,Perc_Bi_Allelic,Density
362,2312,1.0,1.0,135.1
428,285464,1.0,1.0,97.7
531,996,1.0,1.0,1030.3
539,85301,6.0,1.0,
685,4261,5.0,1.0,707.9
720,113146,4.0,1.0,
